Posição;Município;População
1133;Três Marias;27648
1134;Itaíba;27576
1135;Pau dos Ferros;27547
1136;Mantena;27536
1137;Tucumã;27491
1138;Gameleira;27489
1139;Santa Rita do Passa Quatro;27447
1140;Rio Brilhante;27435
1141;Padre Bernardo;27429
1142;Tracuateua;27374
1143;Nazaré;27350
1144;Estreito;27328
1145;Cândido Sales;27327
1146;Porto da Folha;27311
1147;Santa Bárbara;27277
1148;Caririaçu;27249
1149;Santa Rita de Cássia;27224
1150;Campo Verde;27151
1151;Mutum;27105
1152;Mimoso do Sul;27059
1153;Conceição da Barra;27029
1154;Pedras de Fogo;27021
1155;Coração de Jesus;27003
1156;Santana;26990
1157;Buritizeiro;26981
1158;Ipubi;26973
1159;Cocal;26956
1160;Tabira;26947
1161;São João da Ponte;26915
1162;Barrinha;26915
1163;Luís Correia;26900
1164;Timbiras;26884
1165;Capim Grosso;26877
1166;Miracema;26868
1167;Prainha;26866
1168;Curralinho;26864
1169;Viçosa;26799
1170;São Desidério;26742
1171;Murici;26731
1172;Arapoti;26730
1173;Araguatins;26722
1174;Mirandópolis;26705
1175;Iperó;26696
1176;Teutônia;26670
1177;Nova Soure;26666
1178;Tamboril;26650
1179;Guaçuí;26648
1180;Itabela;26636
1181;Arraial do Cabo;26636
1182;Mateus Leme;26631
1183;Redenção;26624
1184;Jardim;26584
1185;Taquari;26579
1186;Prata;26573
1187;Anajás;26563
1188;Nova Esperança;26532
1189;Guararema;26523
1190;Maragogi;26520
1191;Oeiras do Pará;26487
1192;Batalha;26465
1193;Lapão;26461
1194;Extrema;26436
1195;Flores da Cunha;26435
1196;Pomerode;26375
1197;Piracuruca;26361
1198;Campos Sales;26359
1199;Itacaré;26348
1200;São Miguel do Iguaçu;26284
1201;São Bernardo;26273
1202;Iúna;26248
1203;Morro Agudo;26245
1204;Independência;26240
1205;Limoeiro de Anadia;26236
1206;Ibotirama;26228
1207;Santo Antônio do Tauá;26222
1208;Bom Jardim;26207
1209;Caetés;26197
1210;Canaã dos Carajás;26135
1211;Paty do Alferes;26099
1212;Prado;26082
1213;Cambuí;26070
1214;Dois Irmãos;26070
1215;Santa Cruz Cabrália;26051
1216;Buriti;26029
1217;Araçoiaba da Serra;26012
1218;Rio Preto da Eva;26004
1219;São João Nepomuceno;25960
1220;Ubatã;25952
1221;Carauari;25950
1222;Laranjal Paulista;25930
1223;Guapiara;25921
1224;Boca da Mata;25882
1225;Porto Calvo;25870
1226;Trindade;25869
1227;Itinga do Maranhão;25866
1228;Igaci;25860
1229;Apiaí;25857
1230;Anagé;25823
1231;Pedra Azul;25798
1232;Francisco Sá;25788
1233;Irará;25771
1234;Piraí;25762
1235;Jaciara;25745
1236;Ponta de Pedras;25743
1237;Serra Negra;25741
1238;Dois Córregos;25733
1239;Rorainópolis;25714
1240;Areia;25714
1241;Pitangui;25708
1242;Miguel Pereira;25704
1243;Santo Antônio do Monte;25694
1244;Nova Mutum;25658
1245;Traipu;25650
1246;Goianira;25647
1247;Cláudio;25640
1248;Lagoa Seca;25636
1249;Piritiba;25612
1250;Canarana;25557
1251;Panelas;25555
1252;Ilhabela;25550
1253;Veranópolis;25521
1254;Presidente Figueiredo;25474
1255;Cedro;25469
1256;Itabaiana;25460
1257;Garrafão do Norte;25436
1258;Carlos Barbosa;25388
1259;Matriz de Camaragibe;25376
1260;Mirassol d'Oeste;25360
1261;Itapuranga;25337
1262;Sombrio;25332
1263;Barcelos;25318
1264;Gurupá;25306
1265;Mata Grande;25304
1266;Quipapá;25301
1267;São Geraldo do Araguaia;25291
1268;Una;25287
1269;Uauá;25257
1270;Martinópolis;25256
1271;Aracoiaba;25251
1272;Joaçaba;25226
1273;Corrente;25223
1274;Xaxim;25223
1275;Elói Mendes;25218
1276;Icatu;25198
1277;Boquim;25190
1278;Junqueiro;25175
1279;Carolina;25159
1280;Areia Branca;25147
1281;Aurora;25142
1282;Nepomuceno;25141
1283;Triunfo;25096
1284;Senador Pompeu;25069
1285;Reserva;25059
1286;Ilha Solteira;25057
1287;Castro Alves;25052
1288;Ortigueira;25043
1289;Raposa;25042
1290;Astorga;25042
1291;Humberto de Campos;25037
1292;Encruzilhada do Sul;25032
1293;Luzilândia;25021
1294;Ibicaraí;24989
1295;Inhapim;24967
1296;Pirapozinho;24964
1297;São Joaquim;24929
1298;Cambará;24902
1299;Mundo Novo;24895
1300;Jequitinhonha;24879
1301;Canhotinho;24874
1302;Aimorés;24871
1303;Goiás;24859
1304;Sarzedo;24828
1305;Pereira Barreto;24821
1306;Wenceslau Guimarães;24740
1307;Anajatuba;24695
1308;Miranda;24687
1309;Governador Nunes Freire;24671
1310;Bom Jesus das Selvas;24661
1311;Piranhas;24651
1312;Laranjeiras;24626
1313;Raul Soares;24596
1314;Ibirataia;24582
1315;Alta Floresta D'Oeste;24577
1316;Pão de Açúcar;24537
1317;Nossa Senhora das Dores;24529
1318;Olindina;24516
1319;Limoeiro do Ajuru;24483
1320;Tanabi;24424
1321;Capão do Leão;24408
1322;São Sepé;24397
1323;Ocara;24371
1324;Conchal;24336
1325;Mocajuba;24328
1326;Três Coroas;24306
1327;São João dos Patos;24267
1328;Marco;24250
1329;Pedro Canário;24196
1330;Amélia Rodrigues;24192
1331;Ituberá;24185
1332;Condado;24180
1333;Piraí do Sul;24139
1334;Santana do Paraíso;24105
1335;Ibirapitanga;24052
1336;Jardim;24042
1337;Careiro da Várzea;24030
1338;Itapissuma;24026
1339;Piracanjuba;24008
1340;Cajuru;24003
1341;Igaraçu do Tietê;24003
1342;Três Passos;24000
1343;Matinhos;23968
1344;Ibiapina;23961
1345;Três de Maio;23935
1346;Ecoporanga;23919
1347;Ipameri;23911
1348;Macaparana;23907
1349;Rafael Jambeiro;23893
1350;Santa Helena (território);23872
1351;Iraquara;23867
1352;Baraúna;23860
1353;Itaí;23828
1354;Santa Rosa de Viterbo;23824
1355;Presidente Tancredo Neves;23817
1356;Coração de Maria;23797
1357;Tupaciguara;23792
1358;Nova Prata;23721
1359;Vera Cruz;23702
1360;Álvares Machado;23694
1361;Cunha;23694
1362;Miracatu;23688
1363;Rio Tinto;23669
1364;Pinheiros;23656
1365;Nísia Floresta;23655
1366;Jucás;23654
1367;Igreja Nova;23606
1368;Nova Esperança do Piriá;23599
1369;Tupanciretã;23591
1370;Bela Vista;23562
1371;São João Batista;23547
1372;São Gonçalo do Sapucaí;23523
1373;Guaiúba;23502
1374;Medicilândia;23487
1375;São Joaquim de Bicas;23462
1376;Caarapó;23437
1377;Oliveira dos Brejinhos;23436
1378;Bujaru;23429
1379;Itambacuri;23338
1380;Campo Magro;23328
1381;Riachão das Neves;23309
1382;São Miguel;23288
1383;São Miguel do Guaporé;23283
1384;Sooretama;23268
1385;Campo Novo do Parecis;23230
1386;Cruz;23208
1387;Corinto;23206
1388;Abaeté;23193
1389;Paraopeba;23146
1390;Itaperuçu;23132
1391;São Miguel do Araguaia;23128
1392;Jaguaré;23125
1393;Guaratinga;23105
1394;Carandaí;23097
1395;Craíbas;23079
1396;Itaporanga;23047
1397;Anastácio;23012
1398;Quaraí;23006
1399;Santa Maria do Pará;23001
1400;Uruçuca;22984
1401;Irauçuba;22978
1402;Taquarituba;22978
1403;Sacramento;22965
1404;Monte Azul;22949
1405;Buriti Bravo;22941
1406;São José da Laje;22941
1407;Conde;22929
1408;Ibiá;22899
1409;Presidente Médici;22896
1410;Angatuba;22877
1411;Flores;22846
1412;Piracaia;22815
1413;Coaraci;22812
1414;Cupira;22764
1415;São Lourenço do Oeste;22711
1416;Maravilha;22691
1417;Alto Alegre do Maranhão;22676
1418;São João do Paraíso;22635
1419;Medeiros Neto;22629
1420;Tambaú;22564
1421;Bambuí;22554
1422;Canindé de São Francisco;22534
1423;Itaocara;22522
1424;Boquira;22502
1425;Valente;22489
1426;Conselheiro Pena;22482
1427;Extremoz;22473
1428;Araquari;22467
1429;Urbano Santos;22459
1430;Altinho;22418
1431;Pedro do Rosário;22417
1432;Assaré;22412
1433;Pio XII;22410
1434;Taquaritinga do Norte;22404
1435;Guaporé;22372
1436;Agrestina;22371
1437;Joaquim Gomes;22366
1438;Palmeiras de Goiás;22353
1439;Belmonte;22336
1440;Aldeias Altas;22328
1441;Guaraí;22314
1442;Jarinu;22301
1443;Brotas;22300
1444;Buritis;22290
1445;Belo Oriente;22289
1446;Bananeiras;22287
1447;Caculé;22282
1448;Caraí;22278
1449;Morrinhos;22269
1450;São Francisco de Paula;22262
1451;Pombos;22253
1452;Soure;22244
1453;Orobó;22244
1454;Iguaba Grande;22199
1455;Palmital;22190
1456;Confresa;22180
1457;Nova Santa Rita;22177
1458;Valparaíso;22165
1459;Silva Jardim;22158
1460;Concórdia do Pará;22148
1461;Araripe;22133
1462;Pinheiral;22129
1463;Planalto;22127
1464;Lagoa Grande;22121
1465;Aurora do Pará;22092
1466;Dom Pedro;22092
1467;Coreaú;22024
1468;Pirajuí;22014
1469;Coronel Vivida;21985
1470;Sobradinho;21978
1471;Alcântara;21969
1472;Laje;21957
1473;Andirá;21953
1474;Caravelas;21945
1475;Mutuípe;21935
1476;Tocantinópolis;21932
1477;Santo Antônio;21905
1478;Palmas de Monte Alto;21896
1479;São Domingos do Araguaia;21889
1480;São João;21886
1481;Encruzilhada;21875
1482;Penha;21853
1483;Novo Progresso;21843
1484;Formosa do Rio Preto;21827
1485;Orós;21824
1486;Feira Grande;21790
1487;Tacaratu;21770
1488;Rio Formoso;21735
1489;Colorado;21729
1490;João Dourado;21726
1491;Poço Verde;21721
1492;Baixa Grande;21704
1493;São Joaquim do Monte;21700
1494;Ubiratã;21672
1495;Nova Mamoré;21650
1496;Riachão;21626
1497;Forquilhinha;21611
1498;Itaobim;21603
1499;Orleans;21590
1500;Cassilândia;21546
1501;Espera Feliz;21529
1502;Caxambu;21514
1503;Conceição das Alagoas;21510
1504;Sarandi;21504
1505;São Sebastião da Boa Vista;21499
1506;Mandirituba;21498
1507;Serro;21494
1508;Bela Vista de Goiás;21466
1509;Barro;21429
1510;Manga;21413
1511;Teofilândia;21382
1512;Ubaíra;21368
1513;Bequimão;21356
1514;Ituporanga;21327
1515;Bastos;21323
1516;Carlos Chagas;21302
1517;Belém de São Francisco;21254
1518;Forquilha;21233
1519;Monte Alegre;21225
1520;Itapecerica;21220
1521;São Gabriel do Oeste;21217
1522;Jacutinga;21215
1523;São Jerônimo;21212
1524;Umbaúba;21195
1525;Santo Anastácio;21195
1526;Itanhém;21188
1527;Medina;21181
1528;Ourilândia do Norte;21171
1529;São Sebastião do Caí;21142
1530;Ivinhema;21138
1531;Mari;21110
1532;Teodoro Sampaio;21107
1533;Matinha;21037
1534;Piratini;21033
1535;Goianinha;20997
1536;Pirenópolis;20990
1537;Quiterianópolis;20979
1538;Santo Antônio de Posse;20973
1539;Barra da Estiva;20918
1540;Miguelópolis;20918
1541;Carutapera;20905
1542;São Felipe;20902
1543;Paranatinga;20874
1544;Pindobaçu;20873
1545;Manhumirim;20866
1546;Campestre;20843
1547;Capivari de Baixo;20843
1548;Itororó;20841
1549;São Jose Dos Ausentes;20832
1550;Cruzeiro do Oeste;20814
1551;Monte Aprazível;20789
1552;Cuité;20768
1553;Turilândia;20758
1554;Paramirim;20756
1555;Pedra;20754
1556;Santa Teresa;20747
1557;Itajuípe;20695
1558;Buerarema;20687
1559;Ubaitaba;20678
1560;Cajueiro;20670
1561;Bom Jesus de Goiás;20668
1562;Alexânia;20661
1563;Itaparica;20641
1564;Altônia;20638
1565;Monte Santo de Minas;20616
1566;Amaraji;20600
1567;Lagoa do Itaenga;20593
1568;Santa Gertrudes;20568
1569;Juatuba;20567
1570;Parelhas;20566
1571;Canto do Buriti;20556
1572;Governador Mangabeira;20539
1573;Conceição de Macabu;20505
1574;Cantagalo;20491
1575;João Lisboa;20482
1576;Olho d'Água das Flores;20465
1577;Muzambinho;20458
1578;Conde;20452
1579;Cordeirópolis;20445
1580;Aparecida do Taboado;20433
1581;Itaiópolis;20431
1582;Paulistana;20416
1583;São José do Vale do Rio Preto;20412
1584;São Marcos;20406
1585;Ibatiba;20370
1586;Encantado;20360
1587;Santa Terezinha de Itaipu;20354
1588;Alto Santo;20339
1589;Caraúbas;20333
1590;Nova Olímpia;20330
1591;Alcobaça;20320
1592;Paraguaçu;20307
1593;São Vicente Ferrer;20288
1594;Valença do Piauí;20280
1595;Uruburetama;20253
1596;Santa Bárbara;20242
1597;Butiá;20240
1598;Chaves;20228
1599;Oiapoque;20226
1600;Sengés;20213
1601;Camanducaia;20212
1602;Miracema do Tocantins;20194
1603;Santa Luzia do Paruá;20194
1604;Brodowski;20190
1605;Crisópolis;20179
1606;São Luís Gonzaga do Maranhão;20163
1607;Anchieta;20144
1608;Tanhaçu;20142
1609;Utinga;20132
1610;Jandaia do Sul;20131
1611;Nerópolis;20120
1612;Lucélia;20117
1613;Perdões;20105
1614;Bom Jesus;20100
1615;Manaquiri;20095
1616;Rolante;20094
1617;Barroso;20093
1618;Loanda;20067
1619;Carmo do Rio Claro;20055
1620;Paraibano;20048
1621;Potim;20026
1622;Júlio de Castilhos;20007
1623;Mirador;19999
1624;Pompeia;19998
1625;Cachoeira do Arari;19996
1626;Monte Sião;19970
1627;Tapauá;19966
1628;Santo Antônio do Leverger;19964
1629;Divino;19959
1630;Feira Nova;19957
1631;Vazante;19954
1632;Colônia Leopoldina;19946
1633;Aripuanã;19930
1634;Caaporã;19929
1635;Capoeiras;19916
1636;São Francisco de Assis;19909
1637;Conceição da Feira;19891
1638;Água Branca;19882
1639;Princesa Isabel;19867
1640;Nova Canaã;19866
1641;Tonantins;19858
1642;Aveiro;19839
1643;Brasileia;19829
1644;Parnamirim;19813
1645;Barra dos Coqueiros;19809
1646;Cordeiro;19797
1647;Fonte Boa;19783
1648;Bagre;19780
1649;Ribas do Rio Pardo;19780
1650;Carmo do Cajuru;19779
1651;Urussanga;19778
1652;Água Boa;19777
1653;Aquidabã;19762
1654;Lambari;19752
1655;São Miguel do Tapuio;19752
1656;Mairi;19752
1657;Monte Azul Paulista;19739
1658;Varzelândia;19731
1659;Ivoti;19724
1660;Aroeiras;19722
1661;Junqueirópolis;19715
1662;Araruna;19708
1663;Buriti dos Lopes;19700
1664;Alagoa Nova;19700
1665;São João de Pirabas;19691
1666;Juquiá;19688
1667;Farias Brito;19687
1668;Venda Nova do Imigrante;19684
1669;Vila Rica;19672
1670;Chopinzinho;19628
1671;Reriutaba;19626
1672;Peritoró;19601
1673;Fátima;19588
1674;Riachão do Dantas;19567
1675;Uruçuí;19566
1676;Carira;19543
1677;Brasil Novo;19531
1678;São José dos Quatro Marcos;19527
1679;Quixeré;19517
1680;Senador Guiomard;19506
1681;Barra Velha;19474
1682;Neópolis;19466
1683;Rosana;19428
1684;São José de Piranhas;19424
1685;Anapu;19410
1686;Cândido Mendes;19409
1687;Herval d'Oeste;19405
1688;Cantanhede;19396
1689;Major Isidoro;19369
1690;Buritirama;19349
1691;Tibagi;19345
1692;Iracemápolis;19329
1693;Senador La Rocque;19328
1694;Fátima do Sul;19327
1695;Quissamã;19315
1696;Ibirubá;19306
1697;Bataguassu;19295
1698;Ibititá;19286
1699;Porto Franco;19271
1700;Cariús;19270
1701;Nova Xavantina;19268
1702;Santo Antônio do Sudoeste;19260
1703;Barreira;19257
1704;Picuí;19238
1705;Caconde;19233
1706;Jussara;19229
1707;Tupanatinga;19207
1708;Campina Verde;19207
1709;Águas Formosas;19189
1710;Itaporã;19187
1711;Acreúna;19173
1712;Guará;19160
1713;Dianópolis;19158
1714;Wenceslau Braz;19149
1715;Rio Verde de Mato Grosso;19131
1716;Ceres;19114
1717;Hidrolândia;19103
1718;Cariré;19099
1719;Salgado;19095
1720;Icapuí;19089
1721;Castelo do Piauí;19082
1722;Taperoá;19081
1723;São João do Piauí;19073
1724;Mandaguaçu;19058
1725;Esperantinópolis;19055
1726;São Gabriel;19050
1727;Silvânia;19038
1728;Carnaíba;19035
1729;Placas;19030
1730;Horizontina;19013
1731;Cruz Machado;19011
1732;Quatro Barras;19002
1733;Capinzal;18994
1734;Souto Soares;18992
1735;Campos Belos;18984
1736;Monte Alegre de Minas;18969
1737;Diamantino;18966
1738;Pauini;18938
1739;Caridade;18911
1740;Umirim;18901
1741;Presidente Olegário;18892
1742;Costa Rica;18884
1743;Arroio do Meio;18878
1744;Riacho das Almas;18871
1745;Serrita;18869
1746;Trizidela do Vale;18867
1747;Ribeirão Branco;18867
1748;São José da Lapa;18855
1749;Tamandaré;18854
1750;Pariquera-Açu;18815
1751;Arroio Grande;18801
1752;Novo Aripuanã;18796
1753;Caracaraí;18789
1754;Sátiro Dias;18779
1755;Padre Paraíso;18774
1756;Chorozinho;18770
1757;Itatinga;18761
1758;Formoso do Araguaia;18743
1759;Paraisópolis;18734
1760;Montanha;18723
1761;Faro;18710
1762;Tremedal;18706
1763;Ervália;18699
1764;Tapejara;18699
1765;Taquarana;18695
1766;Pancas;18690
1767;Ingá;18677
1768;Alhandra;18674
1769;Capanema;18655
1770;Guaranésia;18649
1771;Palmeirândia;18646
1772;Baependi;18646
1773;Comodoro;18623
1774;Ituaçu;18621
1775;São João Batista;18617
1776;Rubiataba;18583
1777;Itatira;18579
1778;Três Barras;18576
1779;Aporá;18570
1780;Conceição do Mato Dentro;18558
1781;Nova Granada;18543
1782;Coronel João Sá;18540
1783;Vargem Alta;18534
1784;Piatã;18532
1785;Rosário Oeste;18531
1786;Santa Luzia do Pará;18523
1787;Nova Era;18517
1788;Muniz Freire;18497
1789;Ladário;18494
1790;Alpinópolis;18486
1791;Nova Petrópolis;18484
1792;Cachoeira do Piriá;18481
1793;Sanharó;18473
1794;Cerro Azul;18460
1795;Porto Real do Colégio;18459
1796;Mirangaba;18436
1797;Ilha de Itamaracá;18412
1798;Itapiúna;18390
1799;Jaguaretama;18389
1800;Lagoa da Canoa;18378
1801;Abaré;18362
1802;Boa Vista do Tupim;18323
1803;Canapi;18313
1804;Iati;18304
1805;Cabaceiras do Paraguaçu;18302
1806;Malacacheta;18296
1807;Miranda do Norte;18288
1808;São João do Rio do Peixe;18276
1809;Santo Amaro da Imperatriz;18266
1810;Itarantim;18254
1811;Santana do Cariri;18242
1812;Porciúncula;18227
1813;Colorado do Oeste;18216
1814;Itacarambi;18200
1815;Nhamundá;18198
1816;Banabuiú;18196
1817;Rio Claro;18181
1818;Cândido de Abreu;18179
1819;Apuí;18170
1820;Inhapi;18144
1821;São José da Coroa Grande;18143
1822;Regeneração;18138
1823;Arinos;18126
1824;Cafarnaum;18119
1825;Buri;18112
1826;Anicuns;18110
1827;Curionópolis;18102
1828;São José do Rio Claro;18102
1829;Maracaçumé;18098
1830;Conceição do Almeida;18076
1831;Croatá;18057
1832;Pastos Bons;18055
1833;Maraã;18051
1834;Clevelândia;18041
1835;Cachoeirinha;18037
1836;Pindoretama;18022
1837;Jucurutu;18014
1838;Conceição;17997
1839;Melgaço;17989
1840;Poxoréo;17985
1841;Chã Grande;17984
1842;Piaçabuçu;17980
1843;Chapada dos Guimarães;17978
1844;Urucurituba;17971
1845;Mirante do Paranapanema;17967
1846;Santo Antônio do Amparo;17951
1847;Solonópole;17943
1848;Turmalina;17939
1849;Central;17928
1850;Viradouro;17924
1851;Plácido de Castro;17921
1852;Cocos;17908
1853;Vertentes;17899
1854;Antonina;17891
1855;Serra Dourada;17887
1856;Araçagi;17877
1857;Olho d'Água das Cunhãs;17868
1858;Lajinha;17865
1859;Salvaterra;17858
1860;São Domingos do Prata;17852
1861;Ipixuna;17850
1862;Simonésia;17849
1863;Mendes;17839
1864;Ampére;17830
1865;Tapiramutá;17817
1866;Amarante;17813
1867;Itaberá;17804
1868;Catarina;17794
1869;Bonito;17786
1870;Canarana;17785
1871;Carmo;17784
1872;Santa Isabel do Rio Negro;17780
1873;Ipanema;17778
1874;Aragarças;17777
1875;Piranga;17773
1876;Anadia;17765
1877;São Lourenço da Serra;17763
1878;Luz;17756
1879;Bom Sucesso;17750
1880;Seara;17716
1881;São Benedito do Rio Preto;17704
1882;Varjota;17704
1883;Peçanha;17691
1884;Indiaroba;17677
1885;Regente Feijó;17671
1886;Colina;17659
1887;Belém;17654
1888;Nova Brasilândia D'Oeste;17653
1889;Nova Olinda do Maranhão;17646
1890;Pedro Alexandre;17643
1891;Manari;17639
1892;Madalena;17636
1893;Passagem Franca;17625
1894;Morros;17620
1895;Pio IX;17615
1896;Papanduva;17605
1897;Guapiaçu;17593
1898;Cacimba de Dentro;17590
1899;Cássia;17572
1900;Bom Jesus dos Perdões;17571
1901;Resplendor;17563
1902;Mangueirinha;17562
1903;Paranapanema;17558
1904;Nova Hartz;17535
1905;Pontal do Paraná;17508
1906;Capela;17504
1907;Ibipeba;17466
1908;Rio Maria;17457
1909;Itaquiraí;17446
1910;Formosa da Serra Negra;17432
1911;Taió;17418
1912;Maraú;17386
1913;Sapucaia;17352
1914;Jutaí;17337
1915;Ibirama;17328
1916;Jaicós;17310
1917;Giruá;17303
1918;Carambeí;17301
1919;Siqueira Campos;17293
1920;Rio Pomba;17279
1921;Araçoiaba;17276
1922;Antas;17268
1923;Afrânio;17233
1924;São Vicente Ferrer;17223
1925;Remígio;17203
1926;Estrela de Alagoas;17180
1927;Rio Bananal;17174
1928;Alto Paraíso;17169
1929;Santa Maria das Barreiras;17156
1930;Envira;17148
1931;Candeias do Jamari;17147
1932;Cerqueira César;17147
1933;Tapes;17143
1934;Monsenhor Tabosa;17114
1935;Agudo;17114
1936;São João do Soter;17108
1937;Ladainha;17082
1938;São Pedro do Sul;17079
1939;Jaguaripe;17074
1940;Barão de Grajaú;17069
1941;Lagoa Formosa;17069
1942;Sapeaçu;17041
1943;Piúma;17019
1944;Alvorada D'Oeste;17009
1945;Condeúba;17000
1946;Capela do Alto;16968
1947;Capistrano;16963
1948;Matipó;16963
1949;Ourolândia;16933
1950;Guabiruba;16925
1951;Gonçalves Dias;16914
1952;Sumé;16908
1953;Abelardo Luz;16870
1954;Paraibuna;16863
1955;Trairão;16860
1956;Morretes;16853
1957;Macatuba;16842
1958;Umburanas;16834
1959;Jitaúna;16816
1960;Saboeiro;16806
1961;Itapaci;16806
1962;Cerejeiras;16784
1963;Chapadão do Sul;16781
1964;Água Boa;16764
1965;São Caetano de Odivelas;16757
1966;Batalha;16735
1967;Macarani;16735
1968;Correntes;16733
1969;América Dourada;16723
1970;Bituruna;16716
1971;Terra Roxa;16707
1972;Cafelândia;16699
1973;Pontalina;16688
1974;Itagibá;16659
1975;Malhada;16647
1976;Ibicoara;16643
1977;Carnaubal;16626
1978;Campo do Brito;16612
1979;Salitre;16586
1980;Garopaba;16577
1981;Pitimbu;16574
1982;Areia Branca;16568
1983;Mascote;16557
1984;Palmitos;16557
1985;Itiruçu;16538
1986;Paulo Ramos;16534
1987;Bacuri;16500
1988;Quitandinha;16497
1989;Ibitiara;16471
1990;Joaquim Nabuco;16458
1991;Lagoa dos Gatos;16454
1992;Camocim de São Félix;16452
1993;São Raimundo das Mangabeiras;16447
1994;Jijoca de Jericoacoara;16447
1995;Mundo Novo;16441
1996;Lima Duarte;16434
1997;Carmópolis de Minas;16425
1998;Codajás;16418
1999;Venturosa;16417
2000;Itapororoca;16405
2001;Jacupiranga;16403
2002;Pocinhos;16397
2003;Caiapônia;16397
2004;Getúlio Vargas;16374
2005;Cristinápolis;16365
2006;Otacílio Costa;16359
2007;Madre de Deus;16354
2008;Ibicuí;16353
2009;Água Branca;16345
2010;Governador Eugênio Barros;16341
2011;Juazeirinho;16339
2012;Tanque Novo;16338
2013;Águas de Lindóia;16335
2014;Sabinópolis;16334
2015;Alumínio;16331
2016;Campina da Lagoa;16329
2017;Boqueirão;16327
2018;Piancó;16321
2019;Filadélfia;16319
2020;Assaí;16306
2021;Tocantins;16290
2022;Pradópolis;16287
2023;Dormentes;16284
2024;Urandi;16282
2025;Realeza;16276
2026;Guaraniaçu;16271
2027;Montalvânia;16265
2028;Jaguaruna;16263
2029;Aiuaba;16253
2030;Jaboticatubas;16248
2031;Quixelô;16222
2032;Pedra Preta;16208
2033;São João Evangelista;16199
2034;Poção de Pedras;16184
2035;Conchas;16160
2036;Ribeirópolis;16137
2037;Candeias;16125
2038;Fundão;16125
2039;Presidente Sarney;16095
2040;São Francisco do Guaporé;16091
2041;Candói;16090
2042;Castilho;16064
2043;Tejuçuoca;16056
2044;Matelândia;16056
2045;Joselândia;16054
2046;Itariri;16048
2047;Urucará;16035
2048;Sertanópolis;16027
2049;Sítio Novo;16009
2050;Faxinal;16006
2051;Morro da Fumaça;15994
2052;São Félix;15987
2053;Serra Preta;15971
2054;Chapada do Norte;15963
2055;Restinga Seca;15946
2056;Imbé;15936
2057;Japaratuba;15920
2058;Boa Nova;15916
2059;Capinópolis;15903
2060;Salesópolis;15897
2061;Terra Santa;15885
2062;Porto Real;15879
2063;Araputanga;15878
2064;Não-Me-Toque;15876
2065;Poço Fundo;15858
2066;Santa Vitória;15858
2067;Corbélia;15858
2068;Graça;15856
2069;Itapiranga;15840
2070;Santa Cecília;15836
2071;Passa Quatro;15821
2072;Ibateguara;15805
2073;Campanha;15790
2074;Pereiro;15784
2075;Santa Brígida;15781
2076;Pindaí;15759
2077;Triunfo;15724
2078;Ourém;15719
2079;Pedregulho;15717
2080;Cruz do Espírito Santo;15702
2081;Palmital;15699
2082;Ipecaetá;15694
2083;Alvinópolis;15682
2084;Coremas;15668
2085;Nioaque;15649
2086;Cipó;15634
2087;Santa Luzia;15615
2088;Maruim;15583
2089;Centro Novo do Maranhão;15577
2090;Altinópolis;15560
2091;Messias;15547
2092;Bom Jesus do Galho;15541
2093;Severínia;15523
2094;Ipuã;15522
2095;Floresta do Araguaia;15516
2096;Saloá;15509
2097;Contenda;15509
2098;Buritama;15482
2099;Pirapemas;15477
2100;Itaquitinga;15468
2101;Bela Vista do Paraíso;15465
2102;Piquet Carneiro;15449
2103;Espumoso;15429
2104;Belo Campo;15427
2105;Borda da Mata;15420
2106;Barroquinha;15418
2107;Raposos;15418
2108;Pirapora do Bom Jesus;15410
2109;Inhuma;15403
2110;Jurema;15396
2111;Pinhalzinho;15394
2112;Natividade;15392
2113;Joaíma;15391
2114;Acarape;15388
2115;Adustina;15354
2116;Iporã;15353
2117;Ipaba;15351
2118;Novo Airão;15343
2119;Porto Murtinho;15333
2120;Presidente Bernardes;15327
2121;Ataleia;15322
2122;Rio Vermelho;15314
2123;Jataúba;15311
2124;Dionísio Cerqueira;15305
2125;Nobres;15296
2126;Iramaia;15291
2127;Água Fria;15284
2128;Botelhos;15284
2129;Jenipapo dos Vieiras;15270
2130;Itatim;15266
2131;Augustinópolis;15248
2132;Cocalzinho de Goiás;15246
2133;Cruzília;15236
2134;Canudos;15229
2135;Jussara;15229
2136;Sumidouro;15219
2137;Charqueada;15213
2138;Poté;15206
2139;Elias Fausto;15192
2140;Sananduva;15184
2141;Pindorama;15178
2142;Tapejara;15170
2143;Nazaré Paulista;15168
2144;General Carneiro;15159
2145;Angical;15157
2146;Dom Feliciano;15151
2147;Itinga;15137
2148;Porteiras;15127
2149;Taperoá;15124
2150;Papagaios;15124
2151;Acajutiba;15123
2152;Itaú de Minas;15123
2153;Crissiumal;15116
2154;Bacabeira;15115
2155;Cocal do Sul;15101
2156;Grão Mogol;15100
2157;Cumaru;15099
2158;Fronteira;15096
2159;Iguatemi;15085
2160;Terra Nova do Norte;15063
2161;Correia Pinto;15058
2162;Itanhandu;15047
2163;Lagoa do Carro;15044
2164;Terra Boa;15041
2165;Várzea da Roça;15040
2166;Buritirana;15027
2167;Orizona;15015
2168;Lago Verde;15014
2169;Sapezal;15014
2170;Curiúva;15013
2171;Rio Bonito do Iguaçu;15009
2172;Potirendaba;15003
2173;Crixás;14986
2174;Fartura;14985
2175;Ponto Novo;14974
